COUNTRY,x,y
American Samoa,-569.0024387248327,-63.58094216786906
United States Minor Outlying Islands,555.460011324988,85.78687027651539
Cook Islands,-532.6256290317419,-94.32272557066595
French Polynesia,-498.0013890366588,-78.55415146720301
Niue,-566.2292702233028,-84.67692985246191
Pitcairn,-427.7166162091937,-108.29387443362425
Samoa,-574.8035885246712,-60.596679792331656
Tokelau,-572.8421983574248,-40.86744341002909
Tonga,-584.0138626170416,-94.04120945883791
Wallis and Futuna,-593.7578518592395,-63.481965812563004
El Salvador,-296.19704964129954,61.14685118691297
Guatemala,-301.0406449706539,70.3150156237897
Mexico,-338.5133243876706,106.10826969304853
Canada,-328.05601726226877,255.77991130958065
Argentina,-215.10795012810254,-158.65453563608926
Falkland Islands,-195.82215454599952,-230.04005834518782
Chile,-235.89544772464052,-168.1305903577763
Ecuador,-261.5434420365713,-6.952320617268052
Peru,-247.04720655939616,-37.878746596623515
Bolivia,-214.8403199170402,-74.36110595269955
Brazil,-181.1840220275214,-51.220579628562895
Paraguay,-194.63021191428837,-104.09735818930791
Uruguay,-186.73065078193616,-145.69755750360414
South Georgia and South Sandwich Islands,-122.58365252996427,-241.67406417165063
Antarctica,-591.8817204469615,-342.97722317403725
Fiji,593.2714871244209,-79.21098201038313
Saint Helena,-19.05797206937703,-70.94650363706843
Anguilla,-210.2002781257269,80.99055112986261
Antigua and Barbuda,-205.9510274408791,75.87318930546519
Aruba,-233.2521338094682,55.62500321330177
Bahamas,-260.2425123353438,109.87389482874596
Barbados,-198.5246131638343,58.59208608594457
Belize,-295.6091170007814,76.63344340654022
Bermuda,-215.81950019972302,143.62252191440322
Bonaire,-227.64501486529204,54.137088810845945
British Virgin Islands,-215.4135506419233,81.87536976087587
Cayman Islands,-270.8401069659293,85.82769691386795
Colombia,-242.148355414495,18.61223945490106
Costa Rica,-280.4891208567272,43.837632921805394
Cuba,-265.66059525395684,95.44967343497532
Curacao,-229.89799228663472,54.222207324177035
Dominica,-204.53490648981,68.57453271529117
Dominican Republic,-234.78317328400038,83.46465860102192
French Guiana,-177.7410769052208,17.1441321888759
Grenada,-205.5979312401366,53.835229583728484
Guadeloupe,-205.14607540942518,72.19644456469125
Guyana,-196.37842042515555,20.80942139489138
Haiti,-242.97637932806666,83.92675771992697
Honduras,-288.3083893002321,65.5127586477778
Jamaica,-257.6786298180926,80.54257285962893
Martinique,-203.3810793625028,65.07865490487842
Montserrat,-207.28977604187517,74.37939285093492
Nicaragua,-283.38696109223,57.30474058635802
Panama,-267.1476253827599,37.509052220341744
Puerto Rico,-221.64751131978363,80.96099594049295
Saba,-210.7913160636498,78.36672273950987
Saint Barthelemy,-209.43505366683854,79.5805196107439
Saint Eustatius,-209.92743529815013,77.74179657519866
Saint Kitts and Nevis,-209.1520128631929,76.95438355372342
